Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/LCDS-Benedict/LCDS-ATV/main/LCDS-001.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit02,https://raw.githubusercontent.com/LCDS-Benedict/LCDS-ATV/main/LCDS-002.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit03,https://raw.githubusercontent.com/LCDS-Benedict/LCDS-ATV/main/LCDS-003.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit04,https://raw.githubusercontent.com/LCDS-Benedict/LCDS-ATV/main/LCDS-004.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit05,https://raw.githubusercontent.com/LCDS-Benedict/LCDS-ATV/main/LCDS-005.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit06,https://raw.githubusercontent.com/LCDS-Benedict/LCDS-ATV/main/LCDS-006.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit07,https://raw.githubusercontent.com/LCDS-Benedict/LCDS-ATV/main/LCDS-007.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit08,https://raw.githubusercontent.com/LCDS-Benedict/LCDS-ATV/main/LCDS-008.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit09,https://raw.githubusercontent.com/LCDS-Benedict/LCDS-ATV/main/LCDS-009.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit10,https://raw.githubusercontent.com/LCDS-Benedict/LCDS-ATV/main/LCDS-010.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit11,https://raw.githubusercontent.com/LCDS-Benedict/LCDS-ATV/main/LCDS-011.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit12,https://raw.githubusercontent.com/LCDS-Benedict/LCDS-ATV/main/LCDS-012.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit13,https://raw.githubusercontent.com/LCDS-Benedict/LCDS-ATV/main/LCDS-013.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit14,https://raw.githubusercontent.com/LCDS-Benedict/LCDS-ATV/main/LCDS-014.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit15,https://raw.githubusercontent.com/LCDS-Benedict/LCDS-ATV/main/LCDS-015.jpeg,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
